model_name,accuracy,precision_macro,recall_macro,f1_macro,roc_auc,mse_on_classification,true_positives (TP),false_positives (FP),true_negatives (TN),false_negatives (FN),f1_score_manual
LogisticRegression,0.9082862060486845,0.8808161461092381,0.8385295610661567,0.8571051248133383,0.8385295610661567,0.09171379395131547,1260,245,6128,501,0.771586037966932
RandomForestClassifier,0.9173838209982789,0.9047343766140351,0.8424860416509063,0.868479278666429,0.8424860416509063,0.08261617900172118,1251,162,6211,510,0.7882797731568998
LGBMClassifier,0.9221785099582002,0.9028487111587411,0.8601344506606297,0.8790547395937851,0.8601344506606297,0.07782149004179985,1322,194,6179,439,0.8068355202929508
